concept_from_alex_street,count_unique_wiki_article_text_appeared_in,count_unique_wiki_article_title_appeared_in,count_unique_alexander_street_docs_appeared_in
led,625187,7610,52
compete,624017,2047,19
prayers,623503,6862,8
largo,623422,7126,1
gown,622791,8013,1
good,622435,24022,141
served,622176,2569,71
heed,621933,11276,2
nap,621747,9133,1
cross,617777,15394,14
married,616349,5538,117
truck,615693,11538,1
farther,614864,3587,2
magazine,614135,11261,9
society,613891,19512,87
commons,613765,11971,16
case,613525,32094,279
got,612303,17474,60
attested,612109,391,2
may st,611286,329,1
show,610450,22795,85
edition,608944,4234,1
continue,608074,749,104
robert,605183,50668,1
wind,605099,16204,9
awards,604857,40071,1
free,604790,16750,91
vase,603858,15358,1
pork,603475,63765,1
ease,602817,40541,5
league,602809,61958,233
rare,602756,20816,7
loss,602165,5585,62
details,601077,355,23
summer,600111,40724,41
trick,600110,14496,2
large,598910,5296,59
moss,598690,17385,1
drown,598453,29337,1
artist,597988,9365,15
published,597587,2070,63
fiance,597411,18953,1
watch,596990,7849,19
tone,596309,15030,4
fall,594793,20943,34
walls,594740,30499,14
length,594089,1019,17
source,594002,5595,14
usa,593929,12736,2
stove,592271,22222,1
needed,591988,3550,59
sun,591007,64359,18
village,590896,11645,13
zeal,589426,12519,5
becomes,588205,707,9
england,587899,11152,171
films,586463,117087,1
results,586361,7317,49
provide,586185,2114,45
moulded,585085,1848,2
ou,584722,32669,1
george,583275,57258,4
letter,583258,9278,116
counties,583055,8720,6
included,581470,249,50
seal,581396,15825,2
lives,581309,5127,93
mould,581220,4198,1
cot,580187,11480,1
kingdom,579802,18542,12
writer,579665,7348,24
settlements,578723,3573,1
settlement,578586,3669,6
ear,578336,19450,6
view,577469,5407,192
person,576201,5031,107
charge,575837,5262,145
others,575313,12089,168
review,574813,5093,16
gaze,574595,38416,2
forged,574098,2663,1
newspaper,573797,4529,12
sin,573347,59026,6
treated,573065,12139,22
race,572060,17269,215
slack,571393,28462,1
research,570644,15732,16
wit,570248,12572,4
play,570174,15192,35
sat,570051,22828,24
cave,567044,26583,2
deportment,566847,13966,2
department,566552,15132,150
gold,563866,25322,18
terms,563865,5032,96
black,563242,31970,26
moved,562760,2313,34
sort,562147,30457,63
paul,560759,30233,3
bond,560222,36862,7
toad,558738,47654,2
arts,558599,19702,11
pit,558389,13304,1
none,557864,10678,65
size,557857,10968,8
could,557173,6701,256
although,556627,61,36
lover,556423,8053,2
tom,554808,17850,3
heah,554671,13822,1
bull,552869,32122,2
shore,551984,13622,4
contest,551045,8777,11
yield,549963,17776,1
eights,549373,18395,1
development,548708,11289,61
leaving,547405,3449,15
sell,546926,24200,26
division,546784,41721,20
saving,546476,2436,9
agoin,546040,3554,1
wield,545598,23630,1
president,545408,12179,300
charles,544608,43632,1
seat,542895,13133,24
studied,542558,8414,23
resort,542486,8453,3
cup,540935,60991,6
pays,540861,11717,5
french,540837,23282,15
events,540269,7091,10
started,540267,940,51
much,539997,2789,323
sank,539970,22784,1
works,539662,14401,31
citation,539116,1952,1
ccording,538946,2707,3
according,538610,1536,34
articles,538130,3193,27
came,537750,5263,139
leader,537480,9681,48
owned,536981,2152,25
greeted,536880,7649,4
studies,536853,10750,15
real,535657,12005,8
young,535149,13818,38
store,535057,23471,19
records,534405,19032,15
owner,534312,1638,17
different,532862,1452,18
plying,532578,6804,1
takes,532475,11498,18
business,531602,11040,294
fights,531421,14862,1
easter,529701,17724,1
mess,529097,10445,4
result,528637,7390,196
created,527445,3171,31
alternative,525967,3970,1
mind,524953,18118,123
open,524843,53462,114
field,523837,19273,111
word,523591,37917,54
hard,522765,14732,50
aided,522169,2504,4
various,522145,912,2
award,521911,46094,6
hoard,521463,39285,1
occupations,521394,1968,26
protect,521156,11665,52
pin,519902,36348,1
games,519174,44353,3
grown,518876,20973,16
community,518389,18605,75
law,517980,30654,456
rice,517847,24274,1
offices,517319,19286,22
woman,516442,32823,479
current,515818,3291,4
days,513836,6670,103
marries,513814,5154,24
crown,513679,23130,5
peter,513016,29626,2
bill,511027,34550,219
station,510990,132931,9
tract,510820,10078,3
cat,510630,38400,2
wales,509965,17165,2
given,509892,5581,418
fight,509718,44337,144
goes,509575,4525,30
matter,509491,8834,339
us also,509205,13,1
written,507487,1513,92
lose,507403,16978,37
get,506093,10281,255
occupation,505493,1974,40
pass,504170,13309,74
gather,503720,3614,6
continues,502403,1424,3
continued,502350,716,36
consent,502150,6629,36
resigned,501901,1928,6
recorded,501520,15246,4
tears,501301,12485,18
province,500588,16212,13
bought,499825,1012,21
establishments,498715,534,8
establishment,498546,537,54
plight,498255,27167,2
reader,498149,3946,6
recorder,498104,14678,2
mean,497478,29268,61
union,497280,33571,81
manage,495759,3737,7
species,495275,14611,1
board,495000,9499,154
woes,494481,3387,1
even,494346,7919,200
punishing,494329,3170,1
charley,493400,44436,2
france,493260,18927,89
report,492524,5115,202
rock,492404,24880,6
startled,492023,684,1
range,491486,14137,6
label,490822,3136,15
table,490710,9599,32
worked,490649,1832,108
tarry,490641,24067,1
relate,490308,3642,4
miles,489506,5875,11
period,488629,2342,85
seconded,488578,13476,14
councils,488388,40650,2
building,487124,20508,53
council,487119,38724,157
father,486749,4393,179
dover,486738,4988,1
host,486056,9849,7
worker,485942,10715,54
studio,484740,8847,1
marry,484436,21391,35
yard,483982,15730,8
foi,483807,3052,1
institut,483604,22880,3
toll,483285,12021,1
code,482798,21557,41
content,482394,9748,17
instituted,481495,22565,4
german,480727,25038,8
using,480499,2834,16
changes,480462,5310,22
structure,479256,3668,1
sources,477695,2701,8
libel,477475,1936,1
toward,477184,8195,3
starting,476890,3117,5
rote,476806,18945,2
release,476647,2786,4
issued,476529,2151,40
together,475204,1634,20
plays,475178,11002,4
grew,475116,11441,14
issues,475085,2395,7
nile,474598,7999,1
relates,473305,3552,3
hew,473067,7605,1
making,472882,3225,181
missing,472837,1707,1
plan,472547,15805,64
track,472453,13113,2
eastern,471992,11359,1
king,471889,25936,15
deys,471517,6079,1
kissing,471122,2839,1
pig,470920,21810,1
apt,470501,24640,10
follow,469692,2861,52
processional,469510,5420,1
professional,469328,5563,4
dues,467713,2780,21
science,467644,23445,21
europe,466667,8003,69
editor,466648,1847,38
contend,466484,1566,3
court,466078,21517,111
joined,465341,1855,19
data,464456,7465,6
announces,464043,261,1
haul,463995,21247,1
richard,463916,32968,1
cattle,463118,45849,4
church,462329,51055,94
managed,462272,3911,8
archives,461913,3100,4
flag,461861,11576,10
cover,461527,3498,27
northern,461035,27398,2
worded,460307,5334,3
women,459070,16850,718
announce,458890,297,1
bind,458556,41096,2
lower,458128,10589,8
event,458085,10116,23
related,457646,3937,4
car,457547,17076,12
germany,455955,23193,53
ratio,455892,16063,1
forces,455873,18968,17
standard,455735,7192,36
street,455639,27113,22
sport,455513,23896,2
cell,455273,18378,1
change,455087,7636,121
star,454203,19774,4
provides,454176,2013,17
spare,453859,12725,2
roach,453580,5387,1
politician,452993,35445,2
hysterical,452221,5026,1
vary,451696,24369,1
rearing,451621,4625,1
wives,451353,7597,51
nationality,449960,2225,147
vote,449292,5216,318
little,448514,46915,92
niles,448336,6320,1
tent,448192,8884,2
never,448147,6508,144
box,448046,19065,12
firms,447664,19339,8
level,446928,4050,8
load,446718,3607,2
kind,446309,24432,136
provided,446177,930,47
mines,445887,9615,5
dell,445387,18277,2
gestures,445374,1374,1
production,444942,10632,20
foundries,444629,2924,1
often,444326,4420,53
rob,444211,15334,1
political,443274,39095,25
africa,443227,25648,22
personal,442417,2614,3
mouths,441733,2383,1
project,441726,11665,9
wright,441682,14166,2
parks,441320,14931,2
sob,440304,14991,3
wail,440289,16124,4
sept,440107,2862,3
destitute,440091,19873,2
announced,439665,272,30
california,439320,28466,90
rose,438720,23412,13
every,438545,6852,13
character,438258,19260,53
bend,438138,32838,1
mills,437812,15371,12
sway,437418,6635,1
eight,437320,39438,21
cultured,437266,14198,1
institute,436876,22578,43
close,436489,4926,63
away,436258,3686,38
eighth,436156,7882,1
services,434785,18834,98
nra,434299,9124,8
big,433062,19942,2
paying,433004,2524,26
foamed,432745,2013,1
dove,432568,14431,2
seed,432479,8578,2
decide,432385,1616,34
den,432271,48229,3
grand,432198,31399,2
manager,432029,4346,18
three rs,431963,497,1
